text,label
@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia किधार चुपे है re मदरचोड़ पेटा wale गंदू लोग.?,2
@KRKActor1 tu वहा क्या कर रहा ha मदरचोड़. bahan k lode kaha कमारीशन कर रहा ha . tu kaha 1 No ka मदरचोड़\ज़े2\एक्स80\एक्सा6 https://t.co/m7nBRT1yUR,2
@matchmyvibe_ मदरचोड़ मार डालो,2
@jeevanblog1 इसमे एम्बारासिंग क्या है bey मदरचोड़? अहमदाबाद commissioner हस not given permission to hold a राल\ज़े2\एक्स80\एक्सा6 https://t.co/G8Vw51FXUA,2
@NANGI_POOJA मदरचोड़ मुसलमान आयशा आउर् wo है,1
@LmRajpt @imjadeja @RoflGandhi_ मदरचोड़ रंदी के bache ..गली किस्को de रह है...गंद फार दूँगा भरवे....भौसरीके औकत me रह....,2
बोलीवुडियंस are मदरचोड़ ye to kai सालों se बता रहा hoon main tum लोगों को. https://t.co/2tFNvDDe25,2
@ElCrankoPunko क्रांको मदरचोड़ you unfollowed me tu देख अब क्या करता हूँ main,2
@M_walim @ICC @imVkohli @AnushkaSharma तेरी अमी ko छोड़ने वाला इंसान है ye आईसीसी क्या pure world इस्को बढ़ाई देखा बीसी hat मुल्ले मदरचोड़,1
@OfficeOfRG रफेल Deal रफेल Deal रफेल डील... Tum मदरचोड़ कांग्रेशियो के raj मै fighter deal क्यू नही हुए?? चू\ज़े2\एक्स80\एक्सा6 https://t.co/PjvpGURUuz,2
"""@SaniyaChatterje सनिया",2
"""@girishalva @garuna73 I never donate to any मदरचोड़ हिंदु प्रीस्ट्स",1
@ManishTewari you मदरचोड़ in @incindia screwed Air इण्डिया and still have audacity to question गवर्नमेंट. क्या खते ho आउर् क्या सोचते ho \ज़े2\एक्स80\एक्सा6 https://t.co/2RRcR2QQCd,2
Is मदरचोड़ सजीद Khan ko जयविजय se क्या problem h . खुद ko to कुच आता ni उसकी performance ko बेकर बोलता ह..\ज़े2\एक्स80\एक्सा6 https://t.co/dJxNCXHsyh,2
@sanjivbhatt तेरी मा ko कुत्ते se छुड़वाया tera सुवार बाप tab जाकर tu मदरचोड़ पैडा हुआ...रंदी ka औलाद मदरचोड़,2
@Manan_13 @Nirmalogy @BhokalTweet अम्बानी supporter मदरचोड़ mar ज,2
@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum भडवा मदरचोड़ भक्त ....,2
@updatingwait @Acutereply अब उस्को छोड़ मझसे bat कर tera बाप aa ज्ञा है अब to लडकी ko beech me q la ra है मादर्च\ज़े2\एक्स80\एक्सा6 https://t.co/aRTpVwrqw6,2
"""@Shujaatsays तेरी अमी k साठ first inning विरत खेला tha",2
@pbhushan1 @sanjaymanjrekar Oh the मदरचोड़ liberal मंजरेकर रेटवीटेड. भडवा congress ka दलाल.,2
@PiranhaBlowjob मदरचोड़ जलता है मुझसे ?,2
"""@shailu_CA मोड़ी मदरचोड़ है Na",2
@free_thinker तेरी अमी free कि रांडी थि मदरचोड़ tu free ka thinker पैडा हुआ..फ्री मेय hi रंदी devil ko चोड\ज़े2\एक्स80\एक्सा6 https://t.co/5S9CPSLXQK,2
कुतते जीते नही मदरचोड़ दसरो ko भि नही जीने देती,2
@LmRajpt @imjadeja तेरी मा ka भोसरा ..भरवे कि औलाद ...मदरचोड़...औकत me रहे ..नही गंद फार दूँगा ..भरवे,2
@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh अबे मदरचोड़ भगोड़े मल्ती स्टारर एसे to दावा me b नसीर ka equal र\ज़े2\एक्स80\एक्सा6 https://t.co/IDVhjy72V3,2
रट @niralsoni: मदरचोड़ क्या चाहता है https://t.co/9fLcKJ4fxI,2
@ShankhNaad @PetaIndia @ChouhanShivraj किस मदरचोड़ कि he गिरी हुई हरकत,2
@BuddhadevMurum1 @ColorsTV मदरचोड़ शिल्प रंदी रोना band कर,2
"""@Shujaatsays मदरचोड़",2
@rssurjewala अबे चुप चुट्टे ye to congress भि कर सकती थि मदरचोड़ अहमदाबाद me आये मरूँगा अपना कम कर,2
@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India भाग मदरचोड़,2
भक मचोड़ मुल्लो के अब्बू @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe2\x80\xa6 https://t.co/K1pRnRhz0V,1
@_R_aHu_L_ @Mk56Kaur भडवे कि औलाद ho tum sale मदरचोड़ कि वजह se ye जैट फैलता है हिंदु मुस्लिम ka भैन के ट\ज़े2\एक्स80\एक्सा6 https://t.co/nbdEzBGmu1,1
मदरचोड़ why did your मोम meet @narendramodi in जीबी Road and get screwed by हेर. https://t.co/mSfNGZfoI1,2
@_R_aHu_L_ क्यू कि ye तेरे bap ka nay है tweeter मदरचोड़ भौसडिके तेरी ma होगी जोपडी wali भैन के lode निकाल यहा\ज़े2\एक्स80\एक्सा6 https://t.co/Z4jafVFx1w,2
@NaamHiKafiHay Terrorist मदरचोड़ हमसे बात करता है,2
@aajtak @TheHurera मदरचोड़ he साला,2
@MallikaDua रंदी कि बेटी मदरचोड़ बाप se चुड़ा मोटी भैंस,2
@ikillukillwekil @Kalpeshco1 @sardanarohit मदरचोड़ चुटिया tum ho sale,2
कतरा hotel ऑनर्स मदरचोड़ होते hain,2
@sanjivbhatt तेरी अमी ko @ShatruganSinha se छुड़वा मदरचोड़ minus minus plus होता है डिमाग ठिकाने आजये कही\ज़े2\एक्स80\एक्सा6 https://t.co/kE2ZjNv1FL,2
@futbolpogs नरद मुनी है मदरचोड़,2
@RoflGandhi_ @Maddy_Shaab @sambitswaraj मदरचोड़ कर्मफूट गांडू father of कांग्रेस..,2
"""@KRKActor1 अबे बहसरम मदरचोड़ मदरजात tu अभि तक मारा नही",2
"""रट @ShrrinG: When any Virtue सिग्नलिंग चुटिया comes to your तल",2
Sab मदरचोड़ नेता है.एसबी..,2
@narendramodi177 @narendramodi अरे मदरचोड़ क्य बच्चे तेर्को इनको कांग्रेट्स करने ka time hain but एक tweet कर\ज़े2\एक्स80\एक्सा6 https://t.co/fza9YOu96m,2
@Beingdaring1 @mannkakhiladi @_EternalSalman_ Chal is बात me tu जैरा वसीम कि टट्टी खा ले हटिये...वरना एक बा\ज़े2\एक्स80\एक्सा6 https://t.co/AyEdxdA7j3,2
मदरचोड़ https://t.co/9fLcKJ4fxI तेरी kon सुनेगा,2
@NaamHiKafiHay तेरी मा रंदी मदरचोड़ साले पाकिस्तानी,1
@gautamrockzzzzz @BiggBoss मदरचोड़.. Tera घार ka नही खाती है वोह चटिये..,2
@KyaUkhaadLega I m agree with यो.. बहनचोड़ मदरचोड़ log h भोसड़ी wali लोग.. Gali se hi बात समझाने का \एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ,2
@arunl97 @aipatel_55 @ManavDoshi2002 @INCIndia @FitchRatings मदरचोड़ चोरो हिन्दुस्तान छोडो,2
@dasraghubar मदरचोड़ tum vote के लिए अपने bet I तक कि दलाली कर sake ho,2
@mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laudeya @madarchod ओक,0
रट @Bhak_Machod: @mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laud\xe2\x80\xa6,0
@karanjohar @AnushkaSharma @imVkohli Tu मदरचोड़ है...... दोस्ति के नम par सला ढोका डेटा है,2
मदरचोड़ फवाद ko तोह try ball खेलाया ज्ञा थ. उसे hi tum log first inning समझ लिए. Grow up मोरोंस. भाभी से\ज़े2\एक्स80\एक्सा6 https://t.co/nTLmvxswmM,2
"""@yuva_raj3091 @Ranidreams @ROMI13343316 Ye बहनचोड़",2
रट @is_enticing: क्या जिन्दगी h यार बहनचोड़. \न्डिमग खर्ब. \नग m एसबी k एसबी. \नगूद नाइट.,2
रट @lil_unsteady: लड़के वाले: क्या करती है आपकी बेटी?\नलादकी k पपा: Twitter par लोगो ko बहनचोड़ बोलकर gender equality me अपना योगदान ड\ज़े2\एक्स80\एक्सा6,2
क्या जिन्दगी h यार बहनचोड़. \न्डिमग खर्ब. \नग m एसबी k एसबी. \नगूद नाइट.,2
रट @AditShinde2: @BenafshaSoona अबे बहनचोड़ कुच To शरम कर San Be देखा है \न\न#फिक्षेद्विनर्शिल्प,2
रट @dilwala_SRK: @ISrkfanOnly @SRKsRider @SRKswarrior1 @being_tiger_ हन्य k time पे 15000 कमाया tha मैने..आईएस baar payment नही de रहे है\ज़े2\एक्स80\एक्सा6,0
@BiggBossNewz Ache Se देख ले बहनचोड़ https://t.co/1Smek5Fcl4,2
मदरचोड़ LOG \न\नबहनचोड़ लोग\न\नृत KO मोटरबाइक ME SE PETROL \नचूरने WALE LOG,2
@airtelindia बहनचोड़..\न Why getting lots of ad in your विंक music अप्प. Pure mood कि मा behen कर देते h ...,2
"""@Robin_GoodX they दोन\'ट know there is a word काल्ड """"बहनचोड़""""""",2
@Bas1King \एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी\एसीएस0\एक्स9फ\एक्स91\एक्स8सी अचा reply दिया लडकिया खे रही बहनचोड़ jab इतना normal है to माल खे दिया to क्या गलत माल ह\ज़े2\एक्स80\एक्सा6 https://t.co/6xbWS1cIlU,2
@justinlouisbrad @beersbiebs बहनचोड़. औकड़ mein रह.,2
"""रट @Bakchod_Choro: Friend - भै Me अपने बेते Ka क्या Naam रखु Jo सबकी जुबान पे रहे \न\नमे - """" बहनचोड़ """" Rakh दे""",2
"""@KenRoth U idiot",2
अनुष्क: baby tum मुझे शादी bad किस nam se बुलाओ गेय?\न\नवीरत: बहनचोड़\न\न#विरूष्कावादिंग,2
@AvijitEmmi बहनचोड़ .... experienced लगते ho भै भोट\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82,2
@behenchodabhay @sarita_beta @parvatikhan2 @shikhaask5 बहनचोड़ sale bra नही मंगेंगे तेरे बहें कि चूची मसल के\ज़े2\एक्स80\एक्सा6 https://t.co/iQB05N44Qd,2
Or koi गाली भि नही देगा बहनचोड़\एसीएस0\एक्स9फ\एक्स98\एक्स82 https://t.co/Zr3wbRywm3,2
@Mehreenansari95 @ColorsTV @JJROCKXX @eyehinakhan यह देखो बहनचोड़ Ko Fake Id चला रहा है,2
रट @is_enticing: चलो अचा h तुम्हारे दोस्त तुम्हारे birthday ka काउंटों कर रहे ह.\नबूत इसका मतलब यह थोड़ी h कि उसका एसएस ले k tum story डा\ज़े2\एक्स80\एक्सा6,0
@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata नही एसे संघी कुतते ko भ\ज़े2\एक्स80\एक्सा6 https://t.co/n2PLeOgW0v,2
रट @mdawaisi92: अनुष्क: baby tum मुझे शादी bad किस nam se बुलाओ गेय?\न\नवीरत: बहनचोड़\न\न#विरूष्कावादिंग,2
@vishalIncest बहनचोड़ sale bra नही मंगेंगे तेरे बहें कि चूची मसल कर सली ko घुटनों par बिठुगा n कुटिया बा\ज़े2\एक्स80\एक्सा6 https://t.co/l77siKqVIk,2
@deep_tejani @BiggBossCritic1 Are भै अपने बहें Ka नहि बनाया क्या उसका भि बना के डालना Tha Na बहनचोड़ नाले Me पैडा हुआ क्या,2
"""फ्रेंड - भै Me अपने बेते Ka क्या Naam रखु Jo सबकी जुबान पे रहे \न\नमे - """" बहनचोड़ """" Rakh दे""",2
@BenafshaSoona अबे बहनचोड़ कुच To शरम कर San Be देखा है \न\न#फिक्षेद्विनर्शिल्प,2
"""रट @The_Sonu_Gujjar: Friend - भै Me अपने बेते Ka क्या Naam रखु Jo सबकी जुबान पे रहे \न\नमे - """" बहनचोड़ """" Rakh दे""",2
"""बहनचोड़ this is the सैडेस्ट thing",2
@OfficeOfRG बहनचोड़ 65 साल टीके अपनी मा छुड़वा रहे the tum log,2
"""@OfficeOfRG मादर्चोड़ tu दुसरो ko छोड़",2
@DrGPradhan बहनचोड़ लाल चड्डी गुंस,2
बदीर just अन्नोउडिड् their फंडिंग statistics for their एमर्जिंग स्टार्टप in सौदी Arabia\nhttps://t.co/si2Cq9KVcx\n#Startup #न्यूज #टेक,0
"""@attorneybharti @ArvindKejriwal साला भडवा Chandi के मुकुट dene वाले कि शादी me hi जता है",2
@rohanrgupta भडवे @TodaysChanakya ne तेरी भडवा गिरी सबको बता di #शमे,2
रट @BehalPushkar: @TheKaranPatel Neem ka पटा कडवा है करण patel भडवा है\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82 अब्बे चमन चूटी*ऐ अपनी इज्जत क्यू उतरवाने प्र तुल्ला है\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82,2
रट @APSodha1: @SirRavishKumar भडवा जन्ता party \एनबीपीपी नहि \नसले कुत्तो,2
लुकचुत भडवा,2
@girirajsinghbjp एसे भडवा लोगो ko mind Me नही लेनेका ae पाकिस्तान jake sarkar गिरने ko बोलता tha ae दलाल he,2
@ashish_tiwtter आमीर Khan the great भडवा immediately स्टार्टेड speaking when जिहादी जैरा got टॉचेड. But he never स्पेक्स for हिंदूस.,2
@shaileshkap @HimanshiKunwar1 @jigneshmevani80 tu up बिहार ka भडवा hoga जिसे गुजरती me कडवा कहते he अब to एसए\ज़े2\एक्स80\एक्सा6 https://t.co/drD3fgfI2Y,2
@ZahirAdvocate @Anmol_77 पाकिस्तान भडवा है,2
@ChooseGudPerson @amitkumar13557 @Brijesh88220727 @AAP_Germany भदवास स्टार्टेड to बर्क. आप the great भडवा पर्त्य.,2
@KaziArshadHusai हा tu रहुल ka घु खट है \नपता है sab ko \नगंडी नली ka किदा भडवा,2
@BiggBoss kickout अर्शी छिनाल and विकास भडवा,2
@IndiaToday @cheteshwar1 Large number mein आयेगें to बीजीपी ko vote करेगें आउर् is se @sardesairajdeep कि गांद नही\ज़े2\एक्स80\एक्सा6 https://t.co/ae3jCvT80n,2
@patel_ronik @OfficeOfRG हिन्दी नई आती to ma च***वने आय he politics मे... सला भडवा .. समझते पप्पु तेरे पेरी ko,2
@ShakeelSabhasad @News18India आउर् चटने wale ko कुत्ता चटकर...\नभक्त है to सही कम se कम दलाल भडवा कुत्ता\ज़े2\एक्स80\एक्सा6 https://t.co/QwYcYMKho9,2
@laluprasadrjd आउर् wo भडवा है लालू प्रसाद \नसाला.को थप्पड़ मार के theek karo,2
@DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow तीवारी must be getting part of the loot फ्रोम\ज़े2\एक्स80\एक्सा6 https://t.co/WLkkxdrihT,0
@OfficeOfRG To for 60 sal तक क्या किया? Jo अब बेवकूफ बनाने निकाला है मूर्ख भडवा,2
@News18India @sambitswaraj अबे भडवा कन्हिया कुतते गद्दर sale पाकिस्तानी कुत्ता डल्ला,2
"""@SabooVikas @PMOIndia @narendramodi A re MANIA तह नीच है",2
@BJP4India @narendramodi कपिल सिब्बल ko Border पे उल्टा लटका k इतने छेड़ करे कि उसकी रंदी-मा b पहचान na सक\ज़े2\एक्स80\एक्सा6 https://t.co/y2nlVEpA98,2
@ManiAyeSir sorry agar me कुच gali लिख दु to क्योकी मेरा हिन्दी थोडा poor है..भडवा चुटिया गुजरती o ko gali डेटा he,2
@HardikPatel_ भडवा.. हवसखोर 18 डेक k बाद tu गुजरत me दिख नहि पायेगा देख लेना कही मुह चुपा k पड़ा hoga भडवा हार्पिक हवसखोर,2
@EconomicTimes भडवा ! M S एयर,2
@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum भडवा मदरचोड़ भक्त ....,2
Sorry चक्कीचोड़स I forgot to add भडवा ओवैसी. Count him तो. :प,2
@HardikPatel_ भडवा,2
@Robins_patel07 @DesiStupides @smritiirani आनो Pan जवाब आपी de भडवा पवाया,2
अबे tu दल्लाल है sale ........भडवा है tu congress ka गंदू मणिशंकर..,2
@htTweets Congress ka भडवा he तु... मदरचोड़,2
@TheKaranPatel Neem ka पटा कडवा है करण patel भडवा है\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82 अब्बे चमन चूटी*ऐ अपनी इज्जत क्यू उतरवाने प्र तुल्ला है\एसीएस0\एक्स9फ\एक्स98\एक्स82\एसीएस0\एक्स9फ\एक्स98\एक्स82,2
@tehseenp रंदी छोड़ने वाला भडवा आज्ञा,2
@AHIRE40 @Bhimdev101 @SquareGas @ChandreshT @ANI आउर् यह निकला पाकी भडवा हिंदु naam इस्तामल करते हुए.अबे कटवे\ज़े2\एक्स80\एक्सा6 https://t.co/8loGd9E4I4,1
@laluprasadrjd भडवा वो खाली tu हे. टिहर कि त्यारी कर. बाकी सारा इण्डिया safe हे.टूने life me एक hi कम अछा कि\ज़े2\एक्स80\एक्सा6 https://t.co/t8ayvWifoW,2
@majestic_bhara @sambitswaraj @republic अनुराग भडवा रहुल tera बाप है,2
@Ahmad_Shakeel Ye भडवा मिलजाए उसकी..मा चोड दु,2
#पम्सुपरियटक\नेसच कडवा है मणिशंकर अय्यर पाकिस्तान ka भडवा है\नासरी I दोन'ट know हिन्दी or any other language,2
@sardanarohit @aajtak भडवा congress,2
@Sahil_Adhikaari झाटू है साला भडवा,2
@TimesNow @Shehzad_Ind @tehseenp Tu भडवा he बिल्कुल तुझमे डिमाग नहि,2
रट @HukkaKing1: @GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 अल्फाज है मेरा कडवा\ज़े2\एक्स80\एक्सा6,0
"""@gadgil_rajesh He does not have गट्स in his बाल्स. He is loud मोथ. क्रेटर of स्टोरीस",0
मिशेल ओलिवर मक्क तेरी भैन के lode गंदू सला चूत्मारिका भडवा,2
@ZeeNews @RubikaLiyaquat Yes मुस्लिमो कि गंद हिंदु jab मरेंगे to ye हरमी ओवैसी hi उसके लिए जिम्मदार होग...य ब\ज़े2\एक्स80\एक्सा6 https://t.co/1UWeez1S7X,1
@srirambjp @narendramodi It is the मिंडसेट इस्यू. Congress वैंट्स to induct आप leader संगीत चन्दपा रिसेंटली. श\ज़े2\एक्स80\एक्सा6 https://t.co/ScOE67XmEk,0
@asadowaisi This भडवा जन्ता party is एप्रीशियोंंग a person who brutally किल्ड a poor सिटीजन. \n\nhttps://t.co/IH9uM0D8Jf,2
"""@KilaFateh @retheeshraj10 @TajinderBagga अबे ye तेरे Ko 'भडवा' बोल रहा है",2
@gumnaamsa Ye भडवा लडकियों ko धमकता h गाके एसएस बनाता h jo इससे pat नहि रहि h,2
#मनीशंकरायर सला भडवा गुजरती o ko gali डेटा he चुटिया,2
@ANI @INCIndia आउर् @OfficeOfRG ka एक आउर् भौसडिका भडवा अपना सुअर गांद मुख se बोला.,2
@HardikPatel_ लोडा मदरचोड़ पिकिना भडवा,2
"""@ShekharGupta IF IT शॉस राहुलबाबा VISITING टेम्पल्स TO टेम्पल्स",0
@malviyamit @Anirudh_SR He is such a भडवा,2
@jyotyshekhawat1 Q कि ye भडवा h,2
रट @DhanyakumarBPa2: @DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow तीवारी must be getting part of the loot from थे\ज़े2\एक्स80\एक्सा6,0
@vikas_gujarat @KamalAg87404755 @HardikPatel_ मोड़ी ko gali dene वालो आब jake pata चला कि हार्दिक एक भडवा he वो\ज़े2\एक्स80\एक्सा6 https://t.co/4PVWqq8kdT,2
@sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews\xe2\x80\xa6 https://t.co/xLrsCw5QeL,0
@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 अल्फाज है मेर\ज़े2\एक्स80\एक्सा6 https://t.co/e2VfkEMXuM,0
@ManiAyeSir सला भडवा चुटिया गुजरती o ko gali डेटा है... Sorry Yar मेरा हिन्दी थोडा poor he,2
@republic @KapilSibal @pbhushan1 Kanoon ka बदनाम भडवा कल बक्चोड़ी रहा tha wo सुननी board ka wakeel नहीं?\नृप\ज़े2\एक्स80\एक्सा6 https://t.co/gix44ZOPJd,2
"""@Alikhansdaring @AdibaDare @Janbaazk707 @taslimanasreen काये ko गाली de उस्को",1
रट @Irfan7867863: @sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews @RaajnathSing @neo\xe2\x80\xa6,0
रट @dinesh38: #मनीशंकरायर सला भडवा गुजरती o ko gali डेटा he चुटिया,2
@ZeeNews क्या डालो अब ye भडवा देश ka सनमन कर रहा है??????,2
"""@ArvindKejriwal खुजली भिखारी तत्ते",2
@ManiAyeSir sorry agar me कुच gali लिख दु तो...मेरा हिन्दी थोडा poor है...भडवा .. चुटिया कि औलाद गुजरती o ko gali डेटा he,2
@sonalichauhan1 @HukkaKing1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Koi नहि परवाह\ज़े2\एक्स80\एक्सा6 https://t.co/qE3UZW2aiJ,0
@SirRavishKumar भडवा जन्ता party \एनबीपीपी नहि \नसले कुत्तो,2
@jigneshmevani80 वो sub congress के भडवे हे. To ज़ाकिर KA भडवा hay ढेड़े भेजिये ट...सफ करते hay चुनाव नही लड़के.,2
@abpnewshindi @narendramodi अपना देख na डोगल \नशेर के घार भडवा पैडा हुआ है \निन्दुत्व wali party मोड़ी विरोध\ज़े2\एक्स80\एक्सा6 https://t.co/NrKBWTYXag,2
@htTweets Sarkar के आरएस. Study करने वाला अज congress के कुच फेके हुवे टुकड़े पे मुजरा करने वाला भडवा है.... कनाया,2
@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Neem ka पटा\ज़े2\एक्स80\एक्सा6 https://t.co/XvUa3uVyRz,0
"""@ManiAyeSir you are the अगलीस्ट hole one can हैव. चुट्टे मर्जा",2
@Ritz12389 @hallagullaboy @ManojTiwariMP @ArvindKejriwal मोड़ी n that UP वाला भडवा एमपी whats his name that maha चू\ज़े2\एक्स80\एक्सा6 https://t.co/XMxxnhKVnH,2
@avinash_kadbe @jitupatwari भडवा h ye,2
"""नीम ka patta कडवा है",2
@v_vverma23 @being_delhite or वो भडवा केजरीवाल pig कि टट्टी खाने वाला? or आप्रटर्स उसकी ककमे वाले...,2
@Nargisbano25n @DrRizwanAhmed1 Tu भौतनीके\नतेर बाप भूतनीक \नतेरी मा भूतनीके\नतेर पुरा खण्डन भूतनीक,2
@Iamshiyad @rakeysh_tweets @DilliDurAst हहा भाग गया भूतनीक.,2
रट @soitbedone: @SaniyaChatterje मुह खोल चिनाल https://t.co/MgWnknCkYA,2
