text,label
"['मदम्बहुत', 'सोचसमझकर', 'मै', 'ESS', 'तार्क', 'पे', 'पूरे42महीनो', 'मेई', 'पहुचा', 'hoon', 'k', 'असली', 'वजह', 'मुस्लिम', 'हतरेढ़ाई', 'Jo', 'केबिपर्टिटिमोंटिमोंटिअडाक्टाबिजायीजई', 'वंदेमात्रम', 'राष्ट्रगण', 'पाक', 'प्रेमिंगणबर्चचे', 'ज्यादा', '5बीबिया25बच्चे', 'k', 'सफर', 'tai', 'करते', 'हुए', 'तजमहल', 'p', 'jake', 'अटका', 'है']",no
"['I', 'hate', 'सपना', 'यार', 'Coz', 'खुद', 'ko', 'तोह', 'chalana', 'आती', 'nae', 'आउर्', 'hum', 'agar', 'tez', 'चलाएंगे', 'तोह', 'टोकना', 'श्रु', 'धीरे', 'se', 'चलाओ', 'हत्टिप्पस्थस्थाविंजाविस्टिस929388980965203968', '…']",yes
"['Ha', 'रेम', 'इमोजी', 'I', 'hate', 'this', 'इमोजी', 'मुझे', 'नगीनी', 'कि', 'hi', 'याद', 'आती', 'है']",no
"['Hate', 'हीना', 'too', 'much', 'irritating', 'n', 'bat', 'करने', 'ka', 'तमीज', 'नहि', 'है', 'उन्मेसब', 'ko', 'insult', 'करणा', 'अति', 'है', 'उनकोबास', 'आउर्', 'कुच', 'नहि', 'अति', 'हाईबोट', 'insecure', 'है', 'wo', 'लडकी']",yes
"['Sir', 'अपकी', 'फाव', 'kon', 'है', 'आईएसएस', 'सीज़न', 'मै']",no
"['मेहनत', 'to', 'school', 'me', 'copy', 'करके', 'लिखने', 'me', 'b', 'लग्ती', 'है', 'fir', 'illegal', 'क्यू', 'अटांकी', 'ko', 'b', 'लग्ती', 'है', 'fir', 'नफरत', 'क्यू', 'पैसे', 'लेकर', 'घार', 'कि', 'औरतो', 'ka', 'सम्मन', 'बेच', 'doge', 'क्या', 'पैसे', 'आउर्', 'मेहनत', 'के', 'लिए', 'आप']",no
"['लाडला', 'wo', 'hay', 'jo', 'फर्ड', 'जर्म', 'kay', 'bad', 'भि', 'गिरफ्तार', 'नही', 'होता', 'money', 'trail', 'नही', 'डेटा', 'आउर्', 'सजा', 'नही', 'मिल्ती', '14', 'murder', 'करता', 'hay', 'आउर्', 'फँसी', 'नही', 'लग्ती']",no
"['आउर्', 'ye', 'बरुण', 'ka', 'comeback', 'show', 'tha', 'koi', 'q', 'नही', 'देखना', 'चाहेगा', 'लेकिन', 'fir', 'b', 'नही', 'देख', 'पाये', 'मै', 'शिवानी', 'ko', 'q', 'hate', 'करु', 'मुझे', 'उसकी', 'acting', 'नही', 'अच्ची', 'लगी', 'jo', 'मुझे', 'लगा', 'wo', 'मैने', 'kaha', 'wo', 'मेरा', 'opinion', 'है']",no
"['Sir', 'जि', 'अब', 'ye', 'possible', 'नही', 'है', 'bahut', 'नफरत', 'है', 'दोनो', 'or', 'अब', 'एक', 'hi', 'रसता', 'है', 'सरहद', 'के', 'लकीर', 'ko', 'मिटा', 'कर', 'hi', 'ye', 'खत्म', 'ho', 'सकता', 'है', 'जिन्ना', 'सहाब', 'to', 'mar', 'गाये', 'or', 'नहरू', 'जि', 'भि', 'अब', 'fir', 'se', 'एक', 'करते', 'है', 'दोनो', 'mulk', 'ko', 'चिंत्सक', 'अखंड', 'भरट', 'एक', 'भारतत्तस्तस्तस्थावित्वांवतूसूटस929429458188091392', '…']",no
"['Code', 'फट्टा', 'है', 'तोह', 'फटने', 'do', 'मुझे', 'project', 'se', 'नफरत', 'ho', 'गई', 'है', 'मुझे', 'development', 'team', 'se', 'हटने', 'do']",yes
"['अरसी', 'bahar', 'जानी', 'चाहिए', 'I', 'hate', 'अरसी', 'khan']",yes
"['अछा', 'बटा', 'दिया', 'hum', 'n', 'show', 'hi', 'नहि', 'देखा', 'tha', 'खबरी', 'करता', 'कुच', 'ni', 'सर्फ', 'मा', 'बंटा', 'h', 'कर', 'हीना', 'ko', 'hate']",no
"['करची', 'say', 'एजेंसीस', 'पंजाबी', 'पठानों', 'ko', 'कताल', 'कर्के', 'ओंकी', 'लाशें', 'गाऊँ', 'भेजती', 'hain', 'तके', 'मोहाजिरों', 'केखिलाफ', 'नफरत', 'पैडा', 'ho']",yes
"['काहे', 'के', 'हिंदु', 'भाह्मणवादी', 'se', 'नफरत', 'है', 'bus']",no
"['अज', 'अर्शी', 'ne', 'jo', 'लाट', 'एसके', 'पिछवाड़े', 'मेई', 'मारी', 'थि', 'wo', 'photo', 'twit', 'क्रो', 'भै', 'जुल्दी', 'se']",no
"['Ar', 'tag', 'क्रो', 'कि', 'कोंको', 'ऐश', 'hyena', 'ko', 'मुँह', 'मेई', 'हड्डी', 'डालना', 'चाहता', 'h', 'ya', 'लाट', 'मरना', 'अर्शी', 'कि', 'तरह']",no
"['जीएफ', 'खूँ', 'पीने', 'k', 'लिए', 'hoti', 'है', 'आउर्', 'अपने', 'babu', 'ko', 'thana', 'ठिलने', 'k', 'लिए', 'bas']",no
"['हा', 'भै', 'Ye', 'चटिये', 'log', 'कि', 'hatred', 'अपनी', 'लिए', 'मिलन', 'कि', 'bela', 'ban', 'k', 'आयी', 'है', 'लेट्स', 'screw', 'this', 'हेटर्स', 'एड्डायडन1989', 'वेसपर्तपादमावती']",yes
"['अबे', 'bigg', 'boss', 'show', 'me', 'बाकी', 'कंटेस्टेंट्स', 'भि', 'है', 'un', 'se', 'related', 'news', 'डेटा', 'निबर', 'sari', 'अपडेट्स', 'हीना', 'se', 'related', 'डेटा', 'हैवो', 'भि', 'hate', 'वलीखाबारी', 'है', 'बकरी', 'चबर', 'चबर', 'करता', 'रहता', 'हीना', 'k', 'bare', 'me']",no
"['Stone', 'Miracle', 'of', 'हजरत', 'Imam', 'हुसैन', 'RA', 'Wo', 'पथार', 'जिस', 'Se', 'अभि', 'तक', 'खूँ', 'बहता', 'है', 'हत्तप्यौतुबे9खु6कजम्कमा', 'via', 'यूट्यूब']",no
"['पप्पु', 'ka', 'ye', 'सजा', 'फँसी', 'se', 'कम', 'नही']",no
"['Sir', 'फँसी', 'नही', 'सर्फ', 'लूटड', 'money', 'वापस', 'चैया']",no
"['भै', 'ye', 'log', 'ऑनर', 'killing', 'mein', 'विश्वास', 'रखने', 'वालो', 'me', 'se', 'hain', 'खुद', 'दसरी', 'कि', 'बहनो', 'ko', 'din', 'रात', 'छेड़ेगे', 'किसीने', 'इनकी', 'behen', 'पे', 'टिप्पणी', 'भि', 'कर्दी', 'तोह', 'murder', 'वेगर', 'कि', 'धमकी', 'देते', 'hain']",yes
"['आप', 'log', 'कभी', 'अमेरिका', 'कि', 'दलाली', 'करतो', 'कभी', 'नफरत']",no
"['Agar', 'इससे', 'love', 'कहते', 'तोह', 'hum', 'jo', 'करते', 'उसे', 'क्या', 'hate', 'चावलारिया', 'यशिका12के9हट्टप्षस्थस्थाइटेल्टेर्सेटिसेटस928631679995879424', '…']",no
"['बीसी', 'पहली', 'baar', 'किसने', 'hail', 'हिटलर', 'kaha', 'है', 'नही', 'तोह', 'एडॉलफाइटलर', 'ko', 'sab', 'सदक्चाप', 'वाला', 'गालियां', 'देते', 'है']",no
"['नरेंद्र', 'मोड़ी', 'u', 'r', 'a', 'hopeless', 'पीएम', 'अपने', 'गरीब', 'ko', 'मार', 'डाला', 'I', 'hate', 'u', 'सर्फ', 'आप', 'बोल', 'बचन', 'देते', 'ho', 'करते', 'कुच', 'भि', 'नहि', 'U', 'r', 'fake', 'person']",yes
"['प्रोविन्स', 'or', 'Banana', 'to', 'अचि', 'बात', 'hay', 'मगर', 'पाकिस्तानी', 'bun', 'जाना', 'to', 'फखार', 'कि', 'बात', 'हुई', 'na', 'बात', 'बात', 'p', 'नफरत', 'अचि', 'नही']",no
"['अचा', 'tou', 'un', 'per', 'quota', 'system', 'लगा', 'Ya', 'उनको', 'पंजाब', 'say', 'बहर', 'निकाला', 'जैसे', 'मोहाजिरों', 'ko', 'निकाला', 'इन्त्र', 'सिन्ध', 'say', 'उनकी', 'industry', 'नेशनलाइज', 'hoi', 'उनको', 'पंजावियों', 'nay', 'नफरत', 'say', 'पुकरा', 'जैसे', 'सिन्धी', 'पुकारते', 'thy', 'पंजाब', 'न्य', 'उनको', 'कबूल', 'किया', 'लाकिन', 'सिन्धी', 'न्य', 'hum', 'ko', 'नही', 'काबोल', 'किया']",no
"['भुट्टो', 'एसबी', 'juke', 'नही', 'फँसी', 'char', 'गयेनियाजी', 'se', 'कहो', 'मफी', 'नामा', 'वापिस', 'ले', 'कर', 'फँसी', 'char', 'जाये', 'फिर', 'मानू', 'or', 'गंदे', 'message', 'बी', 'चोरने', 'pare', 'ge']",no
"['परवेज', 'मुशर्रफ', 'नवाज', 'शरीफ', 'कि', 'तरहन', 'हरमखोर', 'चूर', 'आउर्', 'एवन', 'ka', 'paisa', 'लोटने', 'वाला', 'नहे', 'tha', 'एटलास्ट', 'हरमखोर', 'नवाज', 'शरीफ', 'ko', 'फँसी', 'do', 'मोटो', 'gang', 'k', 'साठ']",no
"['जिस', 'country', 'me', 'sab', 'se', 'कम', 'rape', 'होते', 'हन', 'वाहन', 'ka', 'कानून', 'लागू', 'होना', 'चाहिए', 'इण्डिया', 'me', 'तभी', 'in', 'दरिन्दों', 'ka', 'कुच', 'इलाज', 'ho', 'सकता', 'है']",no
"['Dont', 'hate', 'You', 'नन्ही', 'si', 'जान', 'आउर्', 'एक', 'tu', 'वोह', 'b']",no
"['मुझे', 'to', 'दोनो', 'se', 'hi', 'नफरत', 'he', 'par', 'बीजीपी', 'se', 'मुझे', 'इतनी', 'नफरत', 'he', 'जिन्दगी', 'me', 'इसे', 'vote', 'नहि', 'दूँगा', 'क्योंकि', 'ye', 'party', 'vote', 'के', 'लायक', 'hi', 'नहि', 'he']",yes
"['Ye', 'शॉक्ड', 'h', 'क्या', 'Lat', 'पड़ी', 'h', 'इसे', 'अर्शी', 'se', 'जबरदस्तर', 'खाना', 'खाएगी', 'n', 'जिल्लत', 'के', 'लड्डू', 'सलमन', 'ne', 'भिजवा', 'दिये']",no
"['हा', 'फर्जी', 'hatred', 'spreading', 'moron', 'शैलेषगम', 'blocked', 'me']",no
"['ye', 'vidya', 'सलमन', 'se', 'bhut', 'बडी', 'celebrity', 'h']",no
"['अजलाल', 'to', 'उसे', 'अच्चा', 'kaha', 'जता', 'है', 'jo', 'द्र', 'अहम्द', 'ya', 'तरक', 'फतह', 'जैसे', 'महापुरूसो', 'दिल', 'wo', 'जान', 'se', 'मनते', 'हैये', 'नफरत', 'पहलने', 'log', 'अपके', 'guru', 'ho', 'सकते', 'मेरा', 'नहिमेरे', 'लिए', 'विवेकानन्द', 'जैसे', 'शक्षित', 'jo', 'कहते', 'the', 'हिंदु', 'ya', 'मुस्लिम', 'her', 'इण्डियंस', 'are', 'my', 'brother']",no
"['as', 'a', 'अक्षरा', 'i', 'hate', 'हीना', 'khan', 'but', 'जैसे', 'hi', 'उसने', 'is', 'घार', 'm', 'अपने', 'आप', 'ko', 'दिखाया', 'है', 'i', 'रेस्पक्ट', 'her', 'भै', 'कितना', 'भि', 'गलती', 'कार्लो', 'bandi', 'अपने', 'आपको', 'सही', 'proof', 'कर', 'देती', 'है', 'वाह', 'or', 'जिनको', 'footage', 'चाया', 'wo', 'हीना', 'हीना', 'करते', 'रहते', 'है', 'हीना', 'किस', 'किस', 'ko', 'पलेगी', 'show', 'मापनी', 'image', 'बनाओ', 'sab']",yes
"['सलमन', 'bahut', 'बडा', 'चुटिया', 'h', 'सर्फ', 'शिल्प', 'ka', 'side', 'लेटा', 'h', 'कामीनाफोन', 'पे', 'भे', 'शिल्प', 'se', 'बात', 'किया', 'चुटिया', 'I', 'hate', 'this', 'बायस्ड', 'show', 'अबे', 'ढँग', 'se', 'host', 'कर', 'इसबार', 'unfair', 'लुवत्यगी', 'एंहिनखान', 'इपरियांक्षा']",yes
"['आयेगा', 'jab', 'take', 'एलिया', 'कि', 'शादी', 'age', 'pass', 'आयेगी', 'क्योकी', 'एलिया', 'said', '30कि', 'होए', 'hi', 'won', 'शादी', 'करगी', 'वरूँ', 'भि', 'कितना', 'कुत्ता', 'है', 'नताशा', 'ka', 'शादी', 'ka', 'स्पना', 'this', 'एलिया', 'के', 'साठ', 'शादी', 'कि', 'बात', 'पाकी', 'कर', 'कि', 'hate', 'वरूँ', 'एलिया', 'सीड', 'please', 'career', 'पे', 'focus', 'karo', 'ओ', 'एलिया', 'के', 'banner', 'se', 'film', 'mat', 'karo']",yes
"['महाजिरों', 'se', 'किसी', 'ko', 'भे', 'नफरत', 'नहे', 'हैमोस्टली', 'log', 'मोहाजिरों', 'कि', 'tragedy', 'ko', 'समझते', 'हैनौर', 'but', 'अल्ताफ', 'हुसैन', 'ne', 'कताल', 'o', 'घरटकर', 'के', 'मोहाजिर', 'cause', 'ko', 'बदनाम', 'कर', 'डिया', 'है']",no
"['हाँ', 'हम', 'तिलक', 'डेकर', 'छोड़', 'देते', 'hain', 'जलते', 'नहीं', 'hain', 'आर्टन', 'ko', 'ya', 'किसी', 'baba', 'ko', 'rape', 'करने', 'के', 'लिए', 'नहीं', 'देते', 'hain']",no
"['Pata', 'नही', 'log', 'क्यों', 'rape', 'करते', 'he', 'फर्ज़ीवाल', 'के', 'sarkar', 'me', 'हर', '1', 'कम', 'par', 'spa', 'khula', 'he', 'आप', 'भि', 'add', 'कर', 'do', 'rape', 'कम', 'hi', 'जायेंगे']",no
"['Ye', 'केसीसी', 'सच्चे', 'है', 'आरएसएस', 'wale', 'Bomb', 'बनते', 'है', 'आउर्', 'media', 'राफिया', 'नाज', 'ko', 'लेकर', 'मुस्लमानों', 'के', 'खिलाफ', 'जहर', 'उगलता', 'है', 'कुब', 'तक', 'ऐसा', 'चलेगा']",yes
"['अपने', 'personal', 'hatred', 'k', 'लिए', 'सरक', 'ka', 'nam', 'बदनाम', 'कर', 'rhe', 'है', 'चुटियभक्त्स', 'ko', 'support', 'कइसे', 'कर', 'सकता', 'है', 'koi', 'लोल']",no
"['Red', 'स्य', 'क्योंकी', 'red', 'तुम्हे', 'मेरे', 'खूँ', 'कि', 'याद', 'दिले', 'ga', '3']",no
"['is', 'घार', 'main', 'अपको', 'जिस', 'इंसान', 'se', 'नफरत', 'ho', 'समझ', 'lo', 'wo', 'इंसान', 'नफरत', 'के', 'लायक', 'नही', 'है', 'बालकी', 'इज्जत', 'के', 'लायक', 'है', 'or', 'जिसको', 'देखके', 'इज्जत', 'ka', 'दिल', 'करे', 'समझ', 'lo', 'wo', 'बहरूपिया', 'है', 'ye', 'is', 'घार', 'कि', 'खासियत', 'है', '3', 'people', 'are', 'रिलसापना', 'अकाश', 'or', 'हिनबकी', 'sab', 'fake', 'or', 'बनवती', 'है', 'बीबी11']",no
"['एक', 'Ara', 'के', 'बीजीपी', 'के', 'जिला', 'महामंत्री', 'श्धिरेंद्र', 'singh', 'se', 'sare', 'aam', 'Road', 'चाप', 'leader', 'सुरेन्द्र', 'singh', 'or', 'उसके', 'bodyguard', 'रिंकु', 'singh', 'murder', 'करने', 'के', 'उद्देश्य', 'se', 'aa', 'कर', 'मार्वर', 'चला', 'जता', 'है', 'or', 'हमारी', 'बीजीपी', 'के', 'कार्य', 'करता', 'एसे', 'hi', 'बैठे', 'haikal', 'ye', 'घटना', 'आप', 'or', 'Hum']",no
"['पिछले', '2', 'month', 'se', 'जिओ', 'ka', 'net', '50क्स', 'se', 'ज्यादा', 'जता', 'भि', 'नही', 'है', 'कुच', 'भि', 'ओनलाइन', 'देखे', 'to', 'बफरिंग', 'के', 'बीना', 'सम्भव', 'hi', 'नही', 'है']",no
"['4ग', 'बोलकर', '2ग', 'ka', 'speed', 'mil', 'रहा', 'है', 'ye', 'सारा', 'sar', 'दोखा', 'है', 'I', 'hate', 'जिओ']",yes
"['तुझे', 'murder', 'कर', 'दूँगी', 'main']",yes
"['I', 'hate', 'वेडिंग्स', 'ye', 'मदरचोड़', 'log', '1', 'घंटे', 'se', 'घार', 'k', 'niche', 'ढोल', 'बजा', 'rhe', 'h']",yes
"['हाँ', 'खुच', 'log', 'to', 'त्वत्र', 'se', 'v', 'murder', 'कर', 'शक्ते', 'hain', 'अपनी', 'घटिया', 'ट्वीट्स', 'se', 'आयी']",no
"['Humidity', 'ka', 'कम', 'tu', 'mat', 'कर', 'rape', 'हुआ', 'he', 'भि', 'कि', 'ni', '95केस', 'झुट', 'होते', 'he', 'fashion', 'ban', 'गया', 'he', 'ye', 'फसल', 'मोटा', 'kamao', 'tum', 'चुट्टा', 'media', 'कि', 'वजह', 'se']",no
"['हीना', 'अपनी', 'गलती', 'मनाने', 'ko', 'तयार', 'hi', 'नही', 'होतीवो', 'है', 'क्या', 'कि', 'उस्को', 'इतना', 'घमण्ड', 'हैसबको', 'bolti', 'है', 'ye', 'मेरा', 'class', 'नहीफाके', 'लाद्यार्षि', 'bahut', 'अच्ची', 'है', 'is', 'हीना', 'सेई', 'hate', 'her']",yes
"['जिस', 'par', 'नीतियों', 'he', 'वही', 'जनता', 'he', 'ye', 'media', 'भेंचोड़', 'rape', 'rape', 'चिल्लता', 'he', 'सच', 'कुच', 'or', 'होता', 'he', 'इसिलियरोपी', 'लडकी', 'झूटे', 'फसा', 'देती', 'he', '95फॉर्ग']",yes
"['चाटुकारता', 'के', 'बारे', 'me', 'to', 'मैने', 'सुना', 'है', 'बीजीपी', 'ne', 'अब', 'तक', 'के', 'सारे', 'record', 'tor', 'दिये', 'lab', 'के', 'अब', 'to', 'पहचान', 'hi', 'यही', 'है', 'दूसरी', 'buri', 'जुबान', 'गालियां', 'आउर्', 'सच्चायी', 'ईमानदारी', 'आउर्', 'अकल', 'se', 'नफरत']",no
"['सहेब', '60', 'सलक्यभूतता', 'bun', 'रहे', 'tha', 'or', 'कभी', 'कोर्ट', 'नही', 'गाये', 'ho', 'पहले', 'pata', 'karo', 'rape', 'के', '95केस', 'forge', 'होते', 'he', 'tum', 'जैसे', 'media', 'कणों', 'बनवाया']",no
"['लोल', 'true', 'कुय', 'कि', 'उसकी', 'jo', 'अवं', 'हैना', 'jo', 'is', 'दुनिया', 'se', 'भार', 'जहा', 'se', 'जादू', 'आय', 'tha', 'वहा', 'के', 'log', 'एसे', 'करते', 'है', 'आउर्', 'खुद', 'buddhi', 'है', 'आउर्', 'दसरो', 'ko', 'bolti', 'कितना', 'मेकअप', 'करती', 'है', 'खुद', 'असली', 'pic', 'देख', 'लेगी', 'na', 'जिस', 'दीन', 'खुद', 'se', 'नफरत', 'करने', 'लगी', 'अर्शी']",yes
"['जियोकार', 'mere', 'aria', 'me', 'जिओ', 'ka', 'speed', '50क्स', 'se', 'ज्यादा', 'मिलता', 'hi', 'नही', 'है', 'ऐसा', 'सम्भव', 'hi', 'नही', 'है', 'कि', 'बीना', 'बफरिंग', 'ka', 'koi', 'video', 'ओनलाइन', 'देख', 'ले']",no
"['4ग', 'के', 'naam', 'par', '2ग', 'mil', 'रहा', 'kai']",no
"['ऐसा', 'hi', 'रहा', 'to', 'recharge', 'समाप्त', 'hone', 'के', 'बाद', 'जिओ', 'चोर', 'कर', 'किसी', 'आउर्', 'me', 'चले', 'जायेगे']",no
"['Sanitary', 'Napkin', 'भि', 'सस्ती', 'ho', 'गई', 'पहन', 'ले', 'Bahut', 'खूँ', 'फेक', 'रहा', 'tum', 'लोगो', 'कि', 'दुकान', 'se']",no
"['अज', 'to', 'सलमन', 'भि', 'चुपके', 'se', 'बोल', 'गाये', 'k', 'I', 'hate', 'हीना', 'and', 'agree', 'with', 'अर्शी', 'fir', 'भि', 'हीना', 'k', 'अंधे', 'भक्तों', 'ko', 'धिक', 'नहि', 'रहा']",no
"['सभी', 'जगह', 'to', 'media', 'wale', 'नफरत', 'or', 'झगड़े', 'to', 'फैला', 'hi', 'rhe', 'है', 'अब', 'लोगो', 'k', 'घार', 'me', 'v', 'सुरु', 'ho', 'ग्ये']",no
"['30', 'साल', 'पंजाब', 'कि', 'आवाम', 'ka', 'खूँ', 'चूसने', 'वालय', 'शरीफ', 'ब्रदर्स', 'अज', 'तक', 'सवेरगे', 'ka', 'nizam', 'ठीक', 'नई', 'कर', 'सकाय']",no
"['हीना', 'ko', 'main', 'देखना', 'or', 'सूनना', 'पसन्द', 'नही', 'करता', 'I', 'hate', 'हिनखान']",yes
"['तुझे', 'नफरत', 'hoti', 'है', 'na', 'पंडो', 'se', 'Tu', 'भि', 'पंडी', 'hi', 'है', 'एक', 'काम', 'कर', 'एक', 'बाप', 'कि', 'औलाद', 'है', 'to', 'एक', 'दलित', 'se', 'शादी', 'क्रियो', 'देखते', 'hain', 'कि', 'तुझे', 'सर्फ', 'yahan', 'publicity', 'चाहिए', 'ya', 'tu', 'सच्ची', 'h', 'मै', 'एक', 'दलित', 'se', 'प्यार', 'करता', 'हू', 'आउर्', 'शादी', 'भि', 'करंग', 'उसीसे']",yes
"['Whats', 'wrong', 'with', 'सपना', 'समझती', 'क्या', 'है', 'After', 'हीना', 'I', 'hate', 'her', 'कितना', 'attitude', 'है', 'करणा', 'कुच', 'नही', 'है', 'bas', 'बकवास', 'करनी', 'है', 'बीबी11']",yes
"['हर', 'election', 'के', 'पहिले', 'जनता', 'के', 'सामने', 'कुच', 'टुकड़े', 'फेंक', 'दिये', 'hate', 'hain']",no
"['मेरा', 'खूँ', 'खौला', 'tha', 'q', 'कि', 'wo', 'movie', 'Boycott', 'Khan', 'कि', 'वजह', 'se', 'हुई', 'थि', 'आउर्', 'Ye', 'राजपूत', 'कि', 'वजह', 'se']",yes
"['I', 'hate', 'this', 'सपना', 'so', 'much', 'इतना', 'घमण्ड', 'किसलिये', 'भै']",yes
"['भै', 'जि', 'आप', 'ko', 'क्या', 'करणा', 'है', 'birthday', 'मनाये', 'ya', 'नहि', 'मनयाप', 'अपना', 'काम', 'theek', 'se', 'तोह', 'करणा', 'शिखोजुत', 'or', 'जुमला', 'आप', 'k', 'खूँ', 'मै', 'है']",no
"['हीना', 'ne', 'शिल्प', 'जि', 'ko', 'कितना', 'अचा', 'Bola', 'है', 'कि', 'हमारे', 'profession', 'main', 'मेकअप', 'लगना', 'पड़ता', 'है', 'आपकी', 'आदत', 'छूट', 'गई', 'होगी']",no
"['पद्मावती', 'Ka', 'दुसरा', 'खूँ', 'सनकर', 'कणों', 'Se', 'खूँ', 'निकालने', 'वाला', 'आउर्', 'दीपिका', 'Ko', 'देखते', 'Hi', 'Vomiting', 'Koi', 'इतनी', 'Ugly', 'केसी', 'दिख', 'सकती', 'है', 'भै']",no
"['अर्शे', 'जैसी', 'गंदी', 'tho', 'नही', 'है', 'हिनवे', 'love', 'हीना', 'we', 'hate', 'अर्शी', 'n', 'अकाश']",yes
"['पंजावियों', 'ne', 'पंजावियों', 'ko', 'मारा', 'इसलिये', 'नही', 'जताया', 'आप', 'ne', 'किसी', 'ne', 'नहीं', 'kaha', 'tha', 'अपने', 'hi', 'जात', 'पाट', 'मुहल्ले', 'कि', 'आर्टन', 'ka', 'rape', 'karo', 'किसी', 'ne', 'नहीं', 'kaha', 'tha', 'एक', 'दूसरे', 'के', 'तलवारों', 'se', 'शहीद', 'कर', 'do', 'अब', 'is', 'main', 'koi', 'आउर्', 'किया', 'करे', 'jo', 'पंजावियों', 'ne', 'खुद', 'एक', 'दूसरे', 'के', 'साठ', 'किया', 'हट्टप्टस्टास्थायूटेल्सेटस929395873695617024', '…']",no
"['भै', 'wo', 'hate', 'story', 'कि', 'स्टैग्स', 'hoti', 'हन']",no
"['बोहत', 'hi', 'फजूल', 'college', 'se', 'सख्त', 'नफरत', 'है', 'मुझे', '10थ', 'कि', 'चट्टियां', 'वापिस', 'la', 'do']",yes
"['डिपिकापाडुकोन', 'ne', 'सरक', 'ko', 'attitude', 'दिखाया', 'tha']",no
"['Better', 'है', 'sab', 'मिल्के', 'कुच', 'अच्छा', 'सोचो', 'अच्ची', 'sarkar', 'युवा', 'sarkar', 'बनाओ', 'कुच', 'progress', 'karo', 'मिल्के', 'जिसे', 'देश', 'कि', 'तरक्की', 'ho']",no
